label,caption,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200,p201,p202,p203,p204,p205,p206,p207,p208,p209,p210,p211,p212,p213,p214,p215,p216,p217,p218,p219,p220,p221,p222,p223,p224,p225,p226,p227,p228,p229,p230,p231,p232,p233,p234,p235,p236,p237,p238,p239,p240,p241,p242,p243,p244,p245,p246,p247,p248,p249,p250,p251,p252,p253,p254,p255
cat,"A black cat that is sitting in a sink.",0.32,0.49,0.56,0.53,0.52,0.45,0.47,0.51,0.72,0.7,0.4,0.38,0.45,0.71,0.63,0.38,0.38,0.34,0.49,0.51,0.5,0.43,0.54,0.64,0.89,0.64,0.31,0.42,0.58,0.83,0.72,0.6,0.51,0.38,0.38,0.5,0.44,0.57,0.91,0.75,0.55,0.56,0.3,0.36,0.37,0.52,0.45,0.51,0.53,0.45,0.36,0.42,0.56,0.96,0.79,0.51,0.4,0.25,0.37,0.48,0.44,0.49,0.28,0.29,0.45,0.5,0.38,0.52,0.93,0.62,0.2,0.13,0.11,0.08,0.03,0.2,0.6,0.77,0.36,0.29,0.49,0.44,0.54,0.88,0.6,0.02,0.06,0.07,0.09,0.05,0.02,0.01,0.05,0.38,0.62,0.68,0.42,0.51,0.84,0.71,0.31,0.02,0.09,0.02,0.02,0.03,0.04,0.04,0.03,0.06,0.4,0.7,0.36,0.65,0.88,0.76,0.39,0.02,0.07,0.0,0.05,0.09,0.04,0.06,0.05,0.12,0.71,0.69,0.35,0.38,0.78,0.92,0.49,0.0,0.05,0.02,0.07,0.09,0.08,0.07,0.0,0.34,0.92,0.87,0.35,0.31,0.47,0.88,0.8,0.07,0.02,0.02,0.03,0.04,0.03,0.01,0.04,0.59,0.9,0.73,0.35,0.37,0.34,0.54,0.95,0.68,0.24,0.23,0.18,0.01,0.0,0.03,0.41,0.88,0.74,0.24,0.35,0.35,0.31,0.21,0.57,0.95,0.82,0.83,0.56,0.03,0.26,0.56,0.84,0.79,0.27,0.13,0.33,0.33,0.35,0.31,0.18,0.69,0.89,0.86,0.43,0.18,0.86,0.93,0.77,0.27,0.22,0.18,0.31,0.35,0.27,0.31,0.2,0.2,0.76,0.9,0.73,0.75,0.91,0.75,0.27,0.2,0.24,0.13,0.11,0.22,0.28,0.36,0.36,0.16,0.18,0.76,0.87,0.88,0.73,0.26,0.09,0.2,0.28,0.07,0.15,0.33,0.45,0.5,0.44,0.39,0.18,0.3,0.8,0.72,0.27,0.11,0.15,0.22,0.24,0.13
cat,"A cat laying in a bowl asleep on the ground.",0.46,0.46,0.47,0.49,0.43,0.33,0.25,0.21,0.21,0.24,0.29,0.37,0.42,0.4,0.38,0.36,0.47,0.5,0.48,0.27,0.15,0.15,0.16,0.14,0.14,0.15,0.15,0.17,0.25,0.4,0.41,0.38,0.51,0.49,0.16,0.13,0.2,0.2,0.21,0.16,0.16,0.19,0.21,0.18,0.15,0.17,0.35,0.41,0.51,0.19,0.17,0.28,0.25,0.2,0.15,0.13,0.14,0.19,0.2,0.22,0.28,0.19,0.16,0.33,0.3,0.12,0.32,0.24,0.21,0.24,0.12,0.07,0.11,0.16,0.2,0.23,0.23,0.2,0.17,0.19,0.13,0.23,0.24,0.22,0.21,0.24,0.18,0.16,0.16,0.13,0.17,0.18,0.16,0.14,0.16,0.18,0.08,0.32,0.45,0.27,0.25,0.28,0.16,0.32,0.29,0.23,0.22,0.17,0.16,0.15,0.14,0.17,0.09,0.15,0.15,0.23,0.18,0.29,0.22,0.37,0.33,0.31,0.28,0.2,0.2,0.18,0.16,0.16,0.11,0.23,0.15,0.12,0.19,0.24,0.3,0.25,0.23,0.31,0.28,0.25,0.22,0.21,0.18,0.15,0.19,0.25,0.32,0.1,0.13,0.22,0.25,0.19,0.18,0.26,0.26,0.22,0.2,0.22,0.18,0.16,0.46,0.07,0.22,0.29,0.24,0.32,0.27,0.17,0.2,0.18,0.16,0.2,0.23,0.22,0.16,0.15,0.77,0.24,0.18,0.35,0.34,0.41,0.34,0.18,0.19,0.18,0.25,0.29,0.25,0.18,0.12,0.15,0.82,0.77,0.17,0.19,0.44,0.41,0.21,0.2,0.18,0.2,0.27,0.2,0.13,0.13,0.16,0.21,0.79,0.91,0.67,0.35,0.49,0.29,0.05,0.1,0.1,0.09,0.09,0.11,0.15,0.17,0.15,0.32,0.69,0.76,0.75,0.52,0.24,0.23,0.23,0.19,0.18,0.18,0.18,0.18,0.15,0.11,0.3,0.41,0.64,0.68,0.67,0.76,0.53,0.13,0.15,0.16,0.16,0.15,0.15,0.14,0.17,0.27,0.44,0.43
cat,"The cat is sitting inside of a bowl on a table.",0.44,0.31,0.03,0.19,0.2,0.32,0.33,0.38,0.45,0.24,0.49,0.64,0.39,0.28,0.5,0.73,0.38,0.29,0.04,0.17,0.41,0.4,0.13,0.51,0.6,0.11,0.24,0.6,0.34,0.35,0.75,0.93,0.27,0.18,0.07,0.17,0.5,0.47,0.16,0.33,0.44,0.38,0.65,0.74,0.44,0.41,0.73,0.67,0.47,0.31,0.03,0.17,0.24,0.48,0.28,0.14,0.4,0.41,0.46,0.62,0.45,0.46,0.65,0.63,0.54,0.43,0.02,0.15,0.15,0.31,0.3,0.22,0.39,0.44,0.35,0.58,0.64,0.45,0.42,0.55,0.51,0.39,0.0,0.17,0.29,0.3,0.2,0.24,0.29,0.55,0.5,0.28,0.34,0.36,0.41,0.37,0.25,0.37,0.38,0.37,0.63,0.62,0.51,0.52,0.67,0.66,0.59,0.4,0.24,0.18,0.26,0.25,0.66,0.75,0.73,0.56,0.68,0.89,0.83,0.77,0.75,0.41,0.39,0.6,0.31,0.36,0.32,0.33,0.75,0.75,0.65,0.62,0.49,0.67,0.63,0.3,0.3,0.16,0.4,0.44,0.19,0.2,0.22,0.22,0.72,0.63,0.51,0.33,0.34,0.57,0.38,0.22,0.15,0.22,0.42,0.2,0.0,0.04,0.06,0.1,0.65,0.47,0.28,0.33,0.56,0.59,0.41,0.14,0.23,0.51,0.45,0.4,0.28,0.15,0.11,0.03,0.37,0.43,0.52,0.58,0.51,0.32,0.36,0.08,0.36,0.55,0.55,0.37,0.61,0.39,0.2,0.18,0.2,0.27,0.67,0.58,0.17,0.03,0.11,0.09,0.35,0.35,0.21,0.36,0.75,0.85,0.85,0.77,0.35,0.29,0.5,0.35,0.14,0.13,0.13,0.24,0.35,0.35,0.46,0.71,0.77,0.85,1.0,1.0,0.32,0.47,0.41,0.13,0.07,0.09,0.15,0.25,0.36,0.41,0.36,0.19,0.36,0.92,0.97,0.99,0.37,0.38,0.31,0.19,0.19,0.18,0.1,0.03,0.02,0.02,0.03,0.16,0.56,0.95,0.98,1.0
cat,"A wooden door in front of an entrance next to a black cat.",0.77,0.78,0.79,0.8,0.8,0.85,0.74,0.44,0.44,0.46,0.46,0.42,0.41,0.38,0.36,0.73,0.77,0.78,0.8,0.82,0.83,0.88,0.76,0.48,0.48,0.49,0.47,0.44,0.42,0.4,0.38,0.75,0.77,0.8,0.8,0.81,0.86,0.9,0.77,0.52,0.52,0.51,0.47,0.45,0.44,0.36,0.38,0.77,0.8,0.83,0.84,0.85,0.88,0.93,0.78,0.54,0.54,0.53,0.48,0.46,0.46,0.36,0.4,0.8,0.82,0.85,0.87,0.89,0.89,0.93,0.78,0.56,0.56,0.55,0.47,0.46,0.45,0.38,0.44,0.82,0.84,0.87,0.89,0.91,0.91,0.94,0.77,0.56,0.56,0.54,0.46,0.45,0.45,0.4,0.47,0.84,0.86,0.89,0.91,0.92,0.92,0.94,0.75,0.53,0.56,0.54,0.48,0.47,0.45,0.4,0.49,0.85,0.87,0.91,0.92,0.93,0.91,0.93,0.78,0.56,0.55,0.55,0.51,0.47,0.47,0.38,0.52,0.86,0.88,0.92,0.92,0.93,0.91,0.93,0.72,0.5,0.51,0.51,0.48,0.46,0.46,0.36,0.55,0.86,0.88,0.93,0.92,0.93,0.91,0.87,0.65,0.47,0.49,0.5,0.46,0.43,0.44,0.35,0.58,0.83,0.88,0.93,0.92,0.93,0.9,0.83,0.62,0.46,0.49,0.49,0.45,0.41,0.44,0.33,0.61,0.81,0.87,0.94,0.92,0.92,0.89,0.8,0.61,0.43,0.46,0.45,0.42,0.39,0.41,0.32,0.64,0.8,0.86,0.94,0.92,0.92,0.86,0.78,0.58,0.36,0.41,0.41,0.39,0.39,0.38,0.31,0.67,0.79,0.85,0.93,0.91,0.91,0.82,0.74,0.55,0.31,0.35,0.36,0.36,0.36,0.35,0.31,0.7,0.78,0.83,0.93,0.91,0.88,0.73,0.71,0.51,0.28,0.31,0.33,0.33,0.33,0.3,0.31,0.71,0.76,0.8,0.91,0.88,0.81,0.65,0.68,0.46,0.24,0.29,0.3,0.31,0.31,0.26,0.32,0.69,0.67
cat,"A cat climbing into a cat door on a wall.",0.3,0.68,0.72,0.72,0.75,0.77,0.78,0.78,0.8,0.8,0.8,0.78,0.72,0.58,0.38,0.4,0.35,0.79,0.86,0.86,0.88,0.91,0.91,0.92,0.93,0.92,0.89,0.85,0.77,0.62,0.38,0.69,0.34,0.81,0.93,0.92,0.93,0.95,0.97,0.98,0.96,0.95,0.92,0.87,0.77,0.61,0.38,0.42,0.33,0.78,0.95,0.93,0.95,0.97,0.89,0.81,0.92,0.96,0.93,0.86,0.76,0.6,0.39,0.49,0.33,0.73,0.96,0.94,0.96,0.98,0.9,0.5,0.84,0.98,0.92,0.85,0.75,0.59,0.4,0.53,0.35,0.69,0.97,0.94,0.96,0.98,0.8,0.59,0.71,0.98,0.91,0.84,0.73,0.58,0.39,0.53,0.39,0.62,0.97,0.94,0.96,0.96,0.93,0.91,0.93,0.94,0.9,0.82,0.71,0.57,0.39,0.52,0.44,0.56,0.96,0.93,0.95,0.96,0.98,0.97,0.96,0.95,0.89,0.8,0.69,0.56,0.38,0.54,0.48,0.5,0.94,0.92,0.94,0.93,0.85,0.77,0.87,0.84,0.82,0.79,0.66,0.55,0.36,0.53,0.54,0.43,0.91,0.91,0.92,0.94,0.43,0.03,0.55,0.49,0.79,0.77,0.65,0.52,0.32,0.51,0.6,0.38,0.86,0.9,0.9,0.91,0.46,0.0,0.06,0.68,0.84,0.75,0.64,0.49,0.33,0.51,0.63,0.35,0.79,0.89,0.88,0.91,0.8,0.0,0.27,0.83,0.65,0.58,0.6,0.46,0.33,0.53,0.66,0.35,0.73,0.88,0.86,0.89,0.82,0.31,0.6,0.87,0.77,0.68,0.58,0.43,0.29,0.57,0.69,0.35,0.66,0.9,0.86,0.87,0.85,0.46,0.69,0.81,0.72,0.63,0.48,0.31,0.24,0.61,0.51,0.28,0.44,0.6,0.59,0.6,0.55,0.49,0.53,0.49,0.43,0.33,0.21,0.16,0.16,0.61,0.38,0.32,0.38,0.39,0.44,0.44,0.45,0.45,0.44,0.44,0.35,0.36,0.27,0.24,0.13,0.54
cat,"a group of people that are petting a cat",0.78,0.77,0.34,0.35,0.31,0.45,0.87,0.77,0.58,0.88,0.67,0.38,0.56,0.51,0.47,0.5,0.85,0.65,0.13,0.29,0.35,0.44,0.57,0.58,0.48,0.58,0.35,0.36,0.46,0.47,0.45,0.48,0.72,0.38,0.09,0.3,0.42,0.42,0.58,0.53,0.29,0.44,0.34,0.4,0.44,0.42,0.44,0.45,0.74,0.53,0.28,0.39,0.25,0.1,0.5,0.55,0.33,0.45,0.16,0.25,0.4,0.39,0.41,0.45,0.63,0.56,0.41,0.46,0.34,0.29,0.56,0.38,0.2,0.38,0.19,0.17,0.35,0.38,0.38,0.41,0.42,0.3,0.25,0.52,0.43,0.51,0.49,0.26,0.18,0.14,0.33,0.47,0.22,0.29,0.36,0.38,0.46,0.32,0.2,0.23,0.25,0.33,0.38,0.35,0.33,0.31,0.46,0.46,0.5,0.38,0.37,0.36,0.45,0.37,0.24,0.11,0.22,0.21,0.22,0.34,0.25,0.22,0.38,0.53,0.66,0.58,0.5,0.39,0.28,0.09,0.15,0.09,0.15,0.3,0.29,0.32,0.3,0.15,0.21,0.38,0.5,0.53,0.51,0.52,0.34,0.14,0.3,0.48,0.29,0.4,0.45,0.38,0.43,0.42,0.32,0.28,0.42,0.44,0.44,0.46,0.44,0.38,0.41,0.41,0.4,0.29,0.29,0.33,0.31,0.41,0.62,0.54,0.49,0.53,0.53,0.57,0.44,0.45,0.45,0.44,0.5,0.47,0.42,0.42,0.44,0.56,0.54,0.55,0.6,0.64,0.66,0.65,0.5,0.52,0.53,0.54,0.56,0.6,0.59,0.61,0.56,0.61,0.58,0.57,0.62,0.67,0.71,0.57,0.47,0.49,0.55,0.57,0.62,0.64,0.63,0.63,0.65,0.65,0.67,0.66,0.62,0.69,0.71,0.61,0.48,0.5,0.54,0.57,0.61,0.64,0.64,0.63,0.65,0.69,0.72,0.73,0.69,0.66,0.75,0.68,0.49,0.49,0.53,0.56,0.59,0.59,0.6,0.65,0.65,0.69,0.7,0.73,0.75,0.66,0.7,0.73
cat,"there are two cats that are laying with each other",0.57,0.61,0.64,0.67,0.69,0.7,0.72,0.73,0.74,0.75,0.75,0.75,0.74,0.73,0.71,0.7,0.57,0.61,0.64,0.67,0.69,0.71,0.72,0.73,0.74,0.75,0.76,0.76,0.75,0.74,0.73,0.71,0.57,0.61,0.64,0.67,0.68,0.69,0.71,0.72,0.73,0.74,0.75,0.75,0.75,0.75,0.72,0.7,0.56,0.6,0.63,0.65,0.66,0.68,0.7,0.71,0.72,0.73,0.73,0.74,0.74,0.73,0.73,0.69,0.54,0.57,0.6,0.62,0.64,0.66,0.67,0.69,0.7,0.71,0.72,0.72,0.73,0.72,0.52,0.27,0.49,0.53,0.56,0.59,0.62,0.64,0.65,0.67,0.67,0.69,0.7,0.71,0.75,0.45,0.12,0.06,0.44,0.47,0.51,0.56,0.59,0.62,0.64,0.65,0.65,0.66,0.67,0.63,0.71,0.57,0.55,0.55,0.2,0.33,0.45,0.56,0.61,0.63,0.65,0.66,0.67,0.67,0.65,0.51,0.64,0.67,0.44,0.6,0.24,0.27,0.45,0.51,0.61,0.65,0.67,0.68,0.69,0.69,0.58,0.3,0.04,0.09,0.3,0.33,0.19,0.47,0.45,0.48,0.55,0.62,0.67,0.67,0.67,0.68,0.39,0.07,0.02,0.01,0.01,0.06,0.09,0.41,0.46,0.61,0.57,0.5,0.61,0.72,0.73,0.7,0.4,0.04,0.02,0.03,0.03,0.03,0.17,0.36,0.6,0.64,0.56,0.44,0.56,0.4,0.36,0.27,0.13,0.02,0.02,0.03,0.02,0.02,0.05,0.16,0.62,0.6,0.59,0.51,0.55,0.1,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.02,0.11,0.11,0.42,0.6,0.61,0.57,0.44,0.51,0.36,0.19,0.09,0.06,0.04,0.03,0.02,0.02,0.13,0.21,0.35,0.51,0.61,0.62,0.6,0.58,0.61,0.57,0.5,0.27,0.05,0.02,0.03,0.02,0.09,0.2,0.43,0.48,0.45,0.4,0.38,0.38,0.39,0.43,0.46,0.38,0.26,0.16,0.07,0.03
cat,"A cat pears into the bowl of a toilet.",0.39,0.39,0.44,0.33,0.46,0.58,0.56,0.3,0.27,0.32,0.28,0.29,0.28,0.27,0.29,0.29,0.37,0.41,0.45,0.43,0.45,0.58,0.58,0.32,0.27,0.31,0.28,0.3,0.29,0.28,0.29,0.28,0.42,0.4,0.41,0.36,0.42,0.57,0.57,0.45,0.32,0.35,0.35,0.3,0.3,0.29,0.29,0.29,0.55,0.47,0.39,0.35,0.38,0.56,0.58,0.45,0.3,0.35,0.37,0.38,0.36,0.41,0.39,0.37,0.44,0.36,0.38,0.36,0.32,0.53,0.49,0.51,0.19,0.29,0.47,0.41,0.34,0.38,0.45,0.42,0.42,0.33,0.28,0.3,0.27,0.39,0.62,0.54,0.16,0.36,0.48,0.57,0.48,0.34,0.36,0.4,0.49,0.39,0.17,0.21,0.25,0.31,0.47,0.17,0.11,0.33,0.4,0.51,0.67,0.38,0.36,0.36,0.51,0.42,0.18,0.19,0.25,0.25,0.19,0.15,0.15,0.34,0.5,0.49,0.43,0.34,0.37,0.37,0.49,0.56,0.4,0.36,0.22,0.21,0.14,0.15,0.21,0.29,0.33,0.35,0.36,0.37,0.38,0.37,0.51,0.46,0.2,0.1,0.12,0.16,0.09,0.14,0.23,0.31,0.36,0.38,0.38,0.4,0.41,0.41,0.51,0.42,0.02,0.11,0.2,0.15,0.08,0.14,0.25,0.32,0.3,0.3,0.37,0.38,0.42,0.43,0.48,0.47,0.34,0.36,0.29,0.17,0.09,0.13,0.21,0.23,0.24,0.31,0.34,0.37,0.41,0.38,0.47,0.48,0.4,0.34,0.27,0.15,0.11,0.13,0.26,0.28,0.3,0.32,0.33,0.39,0.4,0.39,0.46,0.47,0.39,0.31,0.23,0.16,0.09,0.24,0.31,0.31,0.31,0.33,0.35,0.41,0.4,0.39,0.45,0.45,0.4,0.29,0.28,0.17,0.16,0.33,0.33,0.33,0.33,0.34,0.38,0.4,0.39,0.38,0.43,0.44,0.44,0.31,0.32,0.23,0.24,0.33,0.32,0.33,0.36,0.36,0.37,0.37,0.36,0.37
cat,"A yellow cat sits in a small sink.",0.56,0.6,0.56,0.59,0.6,0.51,0.29,0.24,0.2,0.25,0.32,0.41,0.78,0.81,0.84,0.8,0.56,0.59,0.56,0.59,0.53,0.5,0.34,0.24,0.21,0.27,0.33,0.44,0.76,0.81,0.8,0.79,0.61,0.6,0.54,0.52,0.46,0.45,0.41,0.23,0.23,0.29,0.35,0.47,0.72,0.69,0.74,0.76,0.62,0.57,0.44,0.44,0.43,0.36,0.44,0.37,0.22,0.29,0.4,0.55,0.63,0.64,0.82,0.84,0.59,0.52,0.31,0.27,0.35,0.27,0.3,0.53,0.45,0.39,0.53,0.59,0.54,0.76,0.78,0.77,0.42,0.5,0.27,0.13,0.22,0.32,0.34,0.4,0.49,0.42,0.47,0.51,0.62,0.71,0.75,0.71,0.59,0.56,0.3,0.1,0.27,0.34,0.39,0.51,0.53,0.44,0.47,0.47,0.57,0.75,0.71,0.63,0.65,0.45,0.2,0.27,0.4,0.41,0.54,0.69,0.7,0.65,0.59,0.55,0.44,0.88,0.97,0.93,0.56,0.5,0.42,0.48,0.4,0.53,0.65,0.73,0.64,0.48,0.49,0.54,0.44,0.65,0.92,0.92,0.54,0.48,0.43,0.41,0.45,0.32,0.36,0.6,0.29,0.09,0.31,0.42,0.4,0.58,0.87,0.83,0.49,0.47,0.28,0.35,0.32,0.32,0.44,0.46,0.42,0.2,0.25,0.46,0.46,0.45,0.82,0.88,0.49,0.52,0.32,0.34,0.35,0.46,0.45,0.38,0.35,0.32,0.34,0.31,0.46,0.53,0.83,0.92,0.51,0.55,0.35,0.31,0.33,0.33,0.34,0.36,0.33,0.26,0.35,0.35,0.31,0.44,0.68,0.93,0.5,0.47,0.4,0.2,0.16,0.31,0.24,0.24,0.28,0.29,0.32,0.38,0.28,0.35,0.47,0.63,0.45,0.38,0.39,0.34,0.22,0.27,0.33,0.29,0.28,0.35,0.34,0.33,0.32,0.28,0.45,0.45,0.42,0.34,0.28,0.29,0.25,0.18,0.22,0.35,0.36,0.31,0.31,0.32,0.33,0.36,0.47,0.51
giraffe,"A giraffe looks down at a zebra on the field",0.24,0.24,0.22,0.24,0.2,0.22,0.23,0.21,0.2,0.19,0.22,0.23,0.23,0.25,0.24,0.23,0.26,0.26,0.28,0.3,0.28,0.26,0.26,0.28,0.26,0.29,0.3,0.29,0.28,0.27,0.29,0.31,0.5,0.5,0.51,0.51,0.52,0.5,0.5,0.53,0.47,0.3,0.49,0.55,0.52,0.54,0.56,0.55,0.69,0.71,0.71,0.72,0.7,0.71,0.7,0.73,0.57,0.48,0.42,0.66,0.72,0.7,0.7,0.71,0.5,0.41,0.35,0.41,0.52,0.51,0.51,0.51,0.5,0.54,0.37,0.31,0.48,0.49,0.47,0.46,0.29,0.31,0.29,0.32,0.38,0.36,0.38,0.37,0.35,0.31,0.34,0.33,0.26,0.31,0.35,0.3,0.18,0.22,0.2,0.31,0.31,0.3,0.32,0.3,0.33,0.3,0.31,0.33,0.25,0.2,0.33,0.36,0.29,0.21,0.17,0.22,0.25,0.27,0.27,0.27,0.26,0.25,0.26,0.29,0.32,0.23,0.21,0.29,0.3,0.25,0.19,0.2,0.22,0.21,0.23,0.22,0.2,0.24,0.2,0.23,0.33,0.37,0.25,0.16,0.27,0.3,0.27,0.28,0.27,0.26,0.28,0.21,0.13,0.19,0.22,0.25,0.3,0.34,0.25,0.24,0.33,0.33,0.29,0.36,0.28,0.26,0.27,0.23,0.2,0.21,0.24,0.28,0.29,0.25,0.26,0.19,0.28,0.34,0.31,0.34,0.33,0.33,0.32,0.31,0.3,0.31,0.31,0.3,0.31,0.31,0.25,0.1,0.24,0.27,0.27,0.28,0.28,0.27,0.29,0.28,0.26,0.25,0.26,0.23,0.26,0.23,0.22,0.23,0.21,0.2,0.24,0.25,0.25,0.28,0.28,0.25,0.25,0.2,0.19,0.2,0.19,0.2,0.22,0.27,0.22,0.26,0.29,0.24,0.22,0.22,0.24,0.28,0.27,0.25,0.22,0.25,0.26,0.27,0.28,0.25,0.25,0.27,0.28,0.25,0.21,0.2,0.24,0.27,0.24,0.21,0.25,0.24,0.23,0.25,0.27,0.25
giraffe,"A person with a giraffe costume greets people coming through the gate.",0.11,0.1,0.13,0.16,0.19,0.25,0.21,0.17,0.32,0.5,0.34,0.18,0.17,0.16,0.14,0.08,0.11,0.11,0.11,0.13,0.13,0.15,0.14,0.08,0.35,0.29,0.45,0.21,0.17,0.17,0.12,0.09,0.14,0.13,0.13,0.14,0.12,0.13,0.07,0.22,0.36,0.22,0.23,0.25,0.21,0.25,0.27,0.14,0.2,0.14,0.09,0.08,0.12,0.1,0.15,0.37,0.32,0.36,0.21,0.23,0.23,0.3,0.4,0.27,0.58,0.39,0.45,0.29,0.16,0.14,0.31,0.37,0.2,0.37,0.18,0.19,0.17,0.22,0.47,0.26,0.82,0.89,0.74,0.65,0.58,0.41,0.37,0.29,0.31,0.39,0.21,0.13,0.27,0.29,0.35,0.33,0.67,0.58,0.45,0.64,0.56,0.4,0.35,0.41,0.65,0.32,0.48,0.48,0.43,0.28,0.28,0.23,0.53,0.69,0.49,0.57,0.53,0.44,0.36,0.41,0.41,0.22,0.44,0.62,0.57,0.52,0.46,0.5,0.42,0.12,0.31,0.39,0.67,0.58,0.38,0.29,0.26,0.26,0.23,0.34,0.58,0.44,0.42,0.56,0.55,0.08,0.19,0.5,0.77,0.48,0.36,0.39,0.4,0.39,0.36,0.44,0.56,0.36,0.37,0.29,0.71,0.19,0.36,0.71,0.61,0.36,0.45,0.5,0.49,0.49,0.49,0.54,0.35,0.35,0.45,0.23,0.61,0.55,0.48,0.6,0.53,0.2,0.46,0.69,0.64,0.65,0.65,0.64,0.25,0.29,0.37,0.12,0.55,0.5,0.42,0.42,0.43,0.24,0.59,0.71,0.67,0.64,0.62,0.52,0.44,0.46,0.32,0.06,0.53,0.44,0.43,0.29,0.31,0.4,0.59,0.7,0.67,0.64,0.6,0.54,0.47,0.47,0.37,0.11,0.53,0.46,0.43,0.5,0.35,0.2,0.28,0.6,0.67,0.68,0.69,0.45,0.37,0.41,0.33,0.13,0.45,0.41,0.25,0.48,0.4,0.12,0.07,0.32,0.48,0.63,0.72,0.69,0.62,0.47,0.35,0.29
giraffe,"A small giraffe stands in the grass near a road.",0.85,0.85,0.83,0.82,0.75,0.71,0.28,0.25,0.19,0.24,0.19,0.16,0.14,0.14,0.18,0.33,0.84,0.84,0.85,0.85,0.84,0.84,0.61,0.43,0.33,0.23,0.33,0.33,0.38,0.24,0.45,0.27,0.89,0.87,0.85,0.88,0.89,0.84,0.89,0.82,0.88,0.81,0.52,0.51,0.5,0.29,0.68,0.51,0.55,0.74,0.84,0.68,0.39,0.31,0.34,0.38,0.51,0.84,0.58,0.47,0.53,0.39,0.64,0.54,0.26,0.32,0.44,0.25,0.12,0.16,0.11,0.04,0.11,0.33,0.31,0.27,0.27,0.24,0.18,0.31,0.33,0.27,0.27,0.35,0.36,0.31,0.23,0.19,0.14,0.19,0.27,0.27,0.05,0.07,0.13,0.09,0.33,0.33,0.29,0.23,0.33,0.36,0.38,0.37,0.37,0.36,0.38,0.4,0.18,0.21,0.22,0.2,0.33,0.34,0.33,0.36,0.35,0.37,0.34,0.34,0.35,0.35,0.38,0.41,0.24,0.18,0.24,0.27,0.36,0.33,0.38,0.37,0.38,0.34,0.38,0.33,0.32,0.33,0.31,0.33,0.17,0.2,0.43,0.46,0.28,0.29,0.24,0.29,0.38,0.27,0.29,0.35,0.32,0.33,0.4,0.46,0.31,0.16,0.4,0.3,0.38,0.32,0.23,0.37,0.35,0.35,0.36,0.38,0.41,0.44,0.44,0.42,0.25,0.11,0.24,0.16,0.29,0.2,0.2,0.29,0.23,0.22,0.24,0.26,0.25,0.27,0.25,0.22,0.24,0.27,0.24,0.24,0.24,0.11,0.2,0.33,0.31,0.32,0.35,0.35,0.35,0.36,0.34,0.36,0.37,0.32,0.29,0.28,0.18,0.2,0.27,0.38,0.47,0.48,0.47,0.45,0.34,0.27,0.25,0.23,0.2,0.18,0.22,0.22,0.37,0.4,0.4,0.38,0.36,0.33,0.3,0.26,0.23,0.2,0.2,0.2,0.22,0.19,0.18,0.18,0.32,0.35,0.33,0.29,0.27,0.27,0.26,0.24,0.25,0.24,0.23,0.24,0.22,0.22,0.22,0.22
