label,caption,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63
potion,"lead ingot",0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.14,0.79,0.86,0.44,0.07,0.08,0.07,0.15,0.81,0.86,0.69,0.61,0.19,0.07,0.36,0.84,0.80,0.67,0.60,0.55,0.18,0.07,0.45,0.46,0.51,0.60,0.53,0.12,0.07,0.20,0.63,0.58,0.48,0.52,0.10,0.08,0.07,0.34,0.44,0.45,0.25,0.10,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.08,0.07,0.07
potion,"healer with herb",0.07,0.06,0.25,0.25,0.06,0.07,0.07,0.08,0.07,0.27,0.97,0.81,0.27,0.12,0.29,0.25,0.07,0.36,0.75,0.49,0.61,0.27,0.42,0.29,0.07,0.25,0.72,0.62,0.39,0.29,0.37,0.24,0.06,0.68,0.71,0.97,0.65,0.19,0.08,0.06,0.06,0.44,0.68,0.95,0.31,0.18,0.07,0.07,0.05,0.65,0.79,0.95,0.46,0.06,0.07,0.07,0.18,0.56,0.41,0.38,0.57,0.18,0.07,0.07
potion,"healer with herb",0.06,0.15,0.07,0.06,0.33,0.33,0.07,0.07,0.23,0.53,0.16,0.54,0.79,0.97,0.66,0.07,0.27,0.52,0.12,0.64,0.74,0.81,0.64,0.10,0.20,0.51,0.09,0.67,0.80,0.74,0.59,0.06,0.15,0.47,0.77,0.91,0.67,0.84,0.74,0.04,0.07,0.33,0.65,0.66,0.66,0.82,0.80,0.49,0.06,0.06,0.06,0.62,0.65,0.54,0.72,0.29,0.07,0.06,0.37,0.69,0.69,0.60,0.49,0.05
potion,"healer with herb",0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.16,0.77,0.48,0.08,0.20,0.10,0.08,0.07,0.75,0.26,0.29,0.47,0.40,0.57,0.14,0.06,0.59,0.55,0.59,0.30,0.55,0.54,0.14,0.08,0.62,0.89,0.93,0.53,0.28,0.12,0.08,0.07,0.50,0.91,0.77,0.20,0.10,0.08,0.07,0.07,0.58,0.77,0.77,0.17,0.07,0.07,0.07,0.08,0.08,0.06,0.07,0.09,0.07,0.07,0.07
potion,"White Mage; robed healer with staff and hood",0.05,0.64,0.37,0.15,0.34,0.14,0.06,0.05,0.06,0.56,0.31,0.56,0.91,0.86,0.14,0.04,0.04,0.42,0.43,0.55,0.39,0.78,0.14,0.05,0.06,0.21,0.36,0.76,0.57,0.67,0.05,0.04,0.04,0.53,0.64,0.58,0.87,0.89,0.44,0.05,0.05,0.12,0.38,0.62,0.73,0.43,0.68,0.03,0.05,0.11,0.26,0.78,0.86,0.60,0.76,0.05,0.05,0.15,0.47,0.32,0.54,0.71,0.71,0.24
potion,"healer with mortar and pestle",0.08,0.07,0.26,0.69,0.34,0.07,0.08,0.08,0.08,0.05,0.47,0.15,0.43,0.20,0.08,0.08,0.08,0.07,0.16,0.87,0.65,0.12,0.08,0.08,0.07,0.50,0.33,0.61,0.48,0.87,0.08,0.08,0.15,0.41,0.63,0.19,0.52,0.94,0.10,0.08,0.43,0.47,0.48,0.52,0.61,0.40,0.30,0.20,0.19,0.69,0.68,0.24,0.31,0.60,0.68,0.38,0.08,0.49,0.49,0.08,0.09,0.07,0.23,0.19
potion,"stag druid healer",0.07,0.20,0.12,0.07,0.12,0.15,0.14,0.07,0.07,0.47,0.43,0.08,0.32,0.44,0.24,0.09,0.07,0.39,0.35,0.28,0.39,0.39,0.37,0.29,0.07,0.23,0.48,0.64,0.38,0.25,0.35,0.19,0.07,0.23,0.42,0.90,0.60,0.11,0.29,0.14,0.07,0.42,0.34,0.30,0.27,0.21,0.27,0.07,0.35,0.53,0.40,0.12,0.35,0.49,0.66,0.07,0.31,0.41,0.23,0.25,0.11,0.39,0.51,0.09
potion,"lavender sachet charm",0.08,0.08,0.07,0.49,0.14,0.08,0.08,0.08,0.08,0.08,0.29,0.48,0.46,0.06,0.09,0.07,0.08,0.07,0.23,0.60,0.45,0.24,0.28,0.14,0.08,0.32,0.79,0.55,0.65,0.37,0.24,0.08,0.07,0.65,0.56,0.56,0.77,0.62,0.25,0.13,0.15,0.68,0.50,0.54,0.58,0.56,0.07,0.09,0.22,0.78,0.65,0.64,0.77,0.32,0.08,0.09,0.07,0.09,0.28,0.43,0.46,0.14,0.08,0.08
potion,"mage with potion",0.05,0.05,0.14,0.17,0.04,0.06,0.05,0.06,0.06,0.09,0.28,0.39,0.24,0.06,0.09,0.11,0.04,0.06,0.28,0.29,0.46,0.27,0.20,0.20,0.05,0.21,0.30,0.74,0.88,0.34,0.42,0.16,0.06,0.08,0.28,0.59,0.68,0.17,0.54,0.18,0.05,0.18,0.24,0.29,0.32,0.35,0.67,0.55,0.16,0.44,0.23,0.38,0.26,0.18,0.49,0.30,0.16,0.35,0.18,0.28,0.19,0.16,0.07,0.05
potion,"potion pal",0.08,0.08,0.07,0.12,0.11,0.09,0.12,0.08,0.08,0.09,0.26,0.64,0.61,0.13,0.11,0.09,0.10,0.32,0.11,0.51,0.43,0.06,0.27,0.08,0.08,0.08,0.28,0.68,0.42,0.17,0.16,0.08,0.08,0.18,0.69,0.49,0.30,0.70,0.15,0.09,0.09,0.32,0.54,0.45,0.42,0.48,0.34,0.08,0.10,0.17,0.61,0.42,0.43,0.51,0.09,0.08,0.07,0.08,0.27,0.19,0.20,0.16,0.08,0.08
potion,"cute mimic potion bottle",0.07,0.07,0.08,0.22,0.21,0.07,0.07,0.07,0.07,0.05,0.68,0.55,0.64,0.34,0.08,0.07,0.07,0.07,0.53,0.16,0.31,0.56,0.07,0.07,0.06,0.57,0.18,0.09,0.12,0.20,0.60,0.07,0.11,0.36,0.29,0.42,0.33,0.28,0.46,0.10,0.11,0.41,0.39,0.34,0.32,0.38,0.41,0.10,0.10,0.50,0.30,0.29,0.24,0.33,0.72,0.09,0.06,0.37,0.83,0.79,0.79,0.71,0.35,0.07
potion,"healing potion heart",0.07,0.07,0.18,0.28,0.27,0.15,0.08,0.07,0.15,0.35,0.34,0.49,0.50,0.35,0.09,0.07,0.06,0.07,0.58,0.30,0.28,0.48,0.16,0.35,0.23,0.57,0.36,0.20,0.27,0.48,0.53,0.08,0.17,0.54,0.47,0.53,0.53,0.46,0.59,0.17,0.37,0.58,0.52,0.63,0.64,0.53,0.57,0.36,0.17,0.58,0.37,0.55,0.54,0.38,0.62,0.18,0.07,0.35,0.62,0.52,0.52,0.62,0.36,0.08
potion,"mana potion blue",0.07,0.08,0.21,0.54,0.27,0.07,0.07,0.07,0.07,0.06,0.53,0.51,0.67,0.08,0.07,0.07,0.07,0.07,0.29,0.09,0.42,0.06,0.08,0.07,0.06,0.29,0.58,0.25,0.23,0.58,0.06,0.07,0.10,0.51,0.50,0.30,0.31,0.48,0.11,0.07,0.09,0.50,0.46,0.29,0.30,0.51,0.10,0.07,0.07,0.29,0.41,0.29,0.47,0.48,0.09,0.07,0.07,0.07,0.28,0.67,0.34,0.08,0.08,0.07
potion,"cute potion mimic",0.08,0.07,0.11,0.36,0.36,0.07,0.07,0.09,0.08,0.07,0.24,0.43,0.38,0.19,0.07,0.07,0.08,0.07,0.36,0.36,0.29,0.27,0.08,0.08,0.07,0.34,0.47,0.41,0.47,0.42,0.28,0.07,0.05,0.27,0.25,0.16,0.21,0.26,0.31,0.05,0.07,0.24,0.57,0.43,0.28,0.36,0.17,0.08,0.14,0.56,0.50,0.35,0.34,0.38,0.07,0.08,0.07,0.18,0.15,0.21,0.21,0.11,0.08,0.08
potion,"apothecary shelf potion",0.24,0.23,0.16,0.24,0.23,0.16,0.33,0.23,0.19,0.14,0.07,0.34,0.28,0.24,0.64,0.17,0.17,0.68,0.57,0.47,0.48,0.49,0.54,0.18,0.21,0.20,0.17,0.32,0.30,0.25,0.21,0.22,0.19,0.05,0.05,0.34,0.08,0.29,0.28,0.20,0.18,0.33,0.52,0.76,0.17,0.60,0.59,0.19,0.17,0.62,0.75,0.93,0.09,0.58,0.75,0.20,0.24,0.23,0.41,0.41,0.16,0.39,0.38,0.25
potion,"living potion slime",0.06,0.05,0.07,0.34,0.26,0.04,0.07,0.06,0.21,0.17,0.32,0.77,0.77,0.07,0.12,0.09,0.05,0.05,0.17,0.45,0.58,0.16,0.29,0.05,0.05,0.28,0.26,0.07,0.06,0.39,0.40,0.04,0.26,0.17,0.34,0.58,0.57,0.22,0.47,0.28,0.32,0.25,0.55,0.49,0.42,0.59,0.51,0.35,0.32,0.55,0.58,0.56,0.57,0.61,0.74,0.27,0.06,0.59,0.79,0.79,0.79,0.78,0.32,0.04
potion,"cute potion elemental",0.07,0.07,0.07,0.07,0.08,0.08,0.17,0.06,0.07,0.07,0.07,0.43,0.16,0.18,0.37,0.06,0.06,0.07,0.24,0.74,0.60,0.03,0.49,0.06,0.14,0.40,0.58,0.52,0.66,0.33,0.27,0.07,0.06,0.48,0.75,0.58,0.57,0.72,0.28,0.06,0.09,0.67,0.49,0.61,0.46,0.58,0.60,0.25,0.07,0.54,0.60,0.57,0.58,0.64,0.36,0.06,0.07,0.07,0.42,0.58,0.50,0.25,0.06,0.07
potion,"Plague Knight alchemy potion",0.05,0.05,0.07,0.12,0.12,0.07,0.06,0.05,0.06,0.05,0.09,0.32,0.17,0.14,0.08,0.05,0.09,0.07,0.15,0.85,0.66,0.13,0.11,0.05,0.06,0.10,0.85,0.73,0.56,0.10,0.05,0.06,0.49,0.21,0.14,0.10,0.07,0.42,0.34,0.06,0.66,0.62,0.21,0.45,0.35,0.18,0.11,0.07,0.20,0.47,0.22,0.47,0.25,0.13,0.13,0.09,0.07,0.29,0.19,0.08,0.08,0.07,0.11,0.11
potion,"alchemist with potion",0.05,0.12,0.20,0.06,0.05,0.06,0.05,0.06,0.06,0.14,0.51,0.46,0.35,0.04,0.04,0.06,0.10,0.38,0.42,0.39,0.26,0.12,0.16,0.06,0.06,0.30,0.46,0.58,0.15,0.51,0.24,0.06,0.11,0.47,0.45,0.18,0.52,0.46,0.60,0.04,0.21,0.68,0.53,0.61,0.45,0.23,0.24,0.06,0.19,0.63,0.57,0.50,0.52,0.17,0.64,0.14,0.30,0.34,0.34,0.41,0.39,0.34,0.40,0.32
potion,"witch eel potion",0.07,0.07,0.07,0.39,0.39,0.07,0.07,0.07,0.07,0.07,0.15,0.43,0.34,0.14,0.07,0.07,0.07,0.07,0.16,0.64,0.64,0.16,0.07,0.07,0.07,0.16,0.58,0.15,0.16,0.49,0.17,0.07,0.06,0.56,0.53,0.33,0.39,0.32,0.56,0.06,0.10,0.52,0.37,0.62,0.52,0.44,0.48,0.10,0.07,0.55,0.44,0.35,0.31,0.38,0.55,0.07,0.08,0.15,0.45,0.51,0.51,0.46,0.16,0.07
potion,"witch eel potion",0.05,0.05,0.05,0.09,0.09,0.04,0.05,0.05,0.05,0.05,0.15,0.62,0.66,0.25,0.06,0.05,0.05,0.07,0.18,0.45,0.44,0.18,0.06,0.05,0.06,0.16,0.59,0.10,0.12,0.46,0.16,0.06,0.04,0.40,0.11,0.34,0.21,0.07,0.41,0.04,0.03,0.43,0.26,0.18,0.06,0.11,0.41,0.03,0.06,0.44,0.30,0.30,0.35,0.25,0.51,0.06,0.05,0.07,0.43,0.42,0.43,0.38,0.05,0.05
potion,"glowing potion",0.06,0.46,0.07,0.34,0.34,0.07,0.13,0.07,0.13,0.07,0.06,0.69,0.69,0.06,0.07,0.22,0.06,0.46,0.07,0.47,0.47,0.09,0.14,0.09,0.10,0.05,0.27,0.29,0.28,0.17,0.24,0.04,0.24,0.27,0.64,0.45,0.21,0.59,0.17,0.29,0.14,0.67,0.91,0.86,0.71,0.93,0.35,0.06,0.09,0.33,0.67,0.82,0.79,0.64,0.24,0.15,0.06,0.07,0.36,0.45,0.45,0.36,0.09,0.14
potion,"glowing potion",0.13,0.07,0.09,0.34,0.33,0.08,0.07,0.08,0.07,0.21,0.07,0.60,0.52,0.17,0.09,0.13,0.08,0.15,0.09,0.57,0.58,0.15,0.18,0.12,0.14,0.06,0.27,0.25,0.21,0.29,0.06,0.08,0.16,0.31,0.56,0.39,0.09,0.20,0.26,0.08,0.07,0.35,0.94,0.90,0.86,0.89,0.34,0.08,0.08,0.15,0.83,0.87,0.87,0.90,0.16,0.07,0.07,0.07,0.25,0.69,0.69,0.26,0.07,0.07
potion,"glowing potion",0.06,0.06,0.06,0.27,0.19,0.05,0.06,0.07,0.15,0.41,0.25,0.86,0.83,0.16,0.43,0.06,0.06,0.10,0.07,0.62,0.45,0.08,0.05,0.06,0.20,0.20,0.15,0.56,0.47,0.17,0.26,0.26,0.07,0.08,0.62,0.38,0.16,0.65,0.14,0.13,0.08,0.32,0.80,0.85,0.76,0.48,0.33,0.08,0.07,0.25,0.70,0.61,0.64,0.61,0.25,0.07,0.07,0.07,0.34,0.49,0.46,0.34,0.06,0.07
potion,"psychic weed puff",0.06,0.06,0.09,0.12,0.12,0.11,0.10,0.06,0.05,0.06,0.21,0.26,0.26,0.18,0.14,0.06,0.05,0.10,0.24,0.28,0.28,0.24,0.06,0.07,0.06,0.09,0.27,0.23,0.19,0.07,0.07,0.05,0.05,0.06,0.09,0.16,0.07,0.19,0.19,0.06,0.06,0.16,0.41,0.31,0.24,0.28,0.14,0.06,0.28,0.48,0.47,0.40,0.39,0.29,0.46,0.29,0.07,0.17,0.21,0.26,0.34,0.21,0.16,0.07
potion,"psychic weed puff",0.07,0.07,0.08,0.06,0.05,0.19,0.25,0.42,0.06,0.57,0.95,0.89,0.28,0.56,0.24,0.21,0.08,0.96,0.98,0.97,0.65,0.08,0.56,0.08,0.07,0.85,0.76,0.75,0.77,0.15,0.43,0.15,0.08,0.40,0.53,0.69,0.36,0.18,0.09,0.08,0.28,0.46,0.22,0.14,0.51,0.46,0.07,0.07,0.08,0.51,0.50,0.44,0.52,0.14,0.08,0.07,0.06,0.24,0.41,0.31,0.21,0.17,0.07,0.07
potion,"psychic weed puff",0.12,0.38,0.25,0.03,0.04,0.10,0.14,0.04,0.31,0.40,0.34,0.04,0.10,0.13,0.37,0.18,0.08,0.17,0.16,0.15,0.36,0.36,0.38,0.28,0.42,0.31,0.26,0.03,0.08,0.16,0.21,0.19,0.27,0.21,0.37,0.40,0.05,0.08,0.14,0.03,0.43,0.31,0.26,0.44,0.45,0.03,0.03,0.03,0.25,0.28,0.39,0.37,0.09,0.04,0.03,0.03,0.10,0.33,0.29,0.25,0.04,0.03,0.03,0.03
potion,"ice pop wizard",0.07,0.08,0.07,0.16,0.31,0.23,0.07,0.07,0.29,0.76,0.07,0.34,0.70,0.31,0.16,0.07,0.14,0.43,0.15,0.36,0.48,0.31,0.11,0.07,0.06,0.24,0.21,0.69,0.70,0.40,0.14,0.07,0.08,0.22,0.27,0.76,0.95,0.46,0.10,0.08,0.07,0.07,0.17,0.41,0.63,0.31,0.27,0.07,0.07,0.07,0.21,0.15,0.20,0.15,0.06,0.08,0.06,0.07,0.11,0.07,0.24,0.07,0.07,0.07
potion,"magic pebble pal",0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.32,0.20,0.06,0.05,0.05,0.06,0.15,0.33,0.56,0.49,0.32,0.06,0.05,0.04,0.34,0.52,0.70,0.67,0.70,0.32,0.06,0.06,0.55,0.70,0.51,0.72,0.51,0.64,0.06,0.09,0.41,0.66,0.68,0.69,0.68,0.60,0.07,0.31,0.59,0.47,0.43,0.44,0.44,0.19,0.10,0.05,0.07,0.07,0.06,0.06,0.06,0.06,0.06
potion,"ice shard sorcerer",0.05,0.50,0.07,0.27,0.13,0.05,0.23,0.04,0.05,0.80,0.35,0.80,0.58,0.12,0.06,0.35,0.05,0.73,0.64,0.26,0.69,0.06,0.05,0.06,0.06,0.46,0.81,0.73,0.90,0.45,0.10,0.06,0.06,0.40,0.48,0.74,0.68,0.74,0.16,0.05,0.04,0.60,0.61,0.71,0.73,0.77,0.14,0.05,0.04,0.29,0.67,0.66,0.77,0.53,0.06,0.05,0.06,0.15,0.73,0.64,0.81,0.49,0.05,0.05
potion,"shatter spell child",0.07,0.07,0.07,0.08,0.08,0.43,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.35,0.47,0.31,0.07,0.37,0.86,0.57,0.11,0.56,0.29,0.15,0.10,0.96,0.95,0.67,0.21,0.25,0.22,0.40,0.14,0.62,0.87,0.51,0.52,0.15,0.50,0.08,0.18,0.37,0.42,0.10,0.06,0.08,0.20,0.07,0.17,0.46,0.35,0.41,0.07,0.07,0.08,0.07,0.12,0.17,0.07,0.18,0.07,0.07,0.07,0.07
potion,"shatter spell child",0.06,0.06,0.05,0.06,0.05,0.07,0.04,0.05,0.06,0.10,0.21,0.08,0.05,0.17,0.26,0.14,0.07,0.35,0.59,0.40,0.06,0.29,0.26,0.18,0.05,0.17,0.69,0.45,0.23,0.19,0.50,0.65,0.07,0.36,0.40,0.25,0.18,0.18,0.41,0.49,0.09,0.24,0.43,0.21,0.09,0.40,0.38,0.14,0.09,0.27,0.23,0.20,0.07,0.15,0.58,0.05,0.06,0.06,0.07,0.06,0.06,0.04,0.06,0.05
potion,"Wizards custard cup",0.07,0.06,0.04,0.04,0.04,0.04,0.06,0.05,0.08,0.32,0.41,0.43,0.41,0.44,0.08,0.05,0.56,0.36,0.64,0.86,0.64,0.41,0.49,0.03,0.27,0.79,0.68,0.56,0.57,0.79,0.35,0.06,0.05,0.37,0.95,0.64,0.76,0.36,0.05,0.06,0.06,0.04,0.16,0.96,0.16,0.04,0.05,0.05,0.06,0.17,0.88,0.95,0.86,0.17,0.06,0.05,0.05,0.04,0.07,0.06,0.07,0.04,0.05,0.05
potion,"witch hazel gambler",0.09,0.13,0.10,0.04,0.07,0.03,0.02,0.02,0.06,0.14,0.57,0.22,0.12,0.02,0.02,0.02,0.10,0.12,0.10,0.10,0.04,0.04,0.03,0.02,0.08,0.06,0.50,0.34,0.12,0.34,0.12,0.02,0.05,0.07,0.27,0.44,0.78,0.85,0.70,0.55,0.10,0.09,0.08,0.41,0.78,0.37,0.78,0.76,0.14,0.09,0.10,0.09,0.76,0.15,0.17,0.15,0.09,0.11,0.12,0.08,0.10,0.11,0.15,0.10
potion,"Elixir of wisdom",0.04,0.04,0.04,0.33,0.50,0.04,0.04,0.04,0.04,0.04,0.05,0.62,0.65,0.07,0.04,0.04,0.04,0.04,0.03,0.55,0.46,0.04,0.04,0.04,0.04,0.05,0.03,0.42,0.64,0.05,0.04,0.04,0.04,0.04,0.27,0.56,0.18,0.44,0.03,0.04,0.04,0.24,0.32,0.39,0.14,0.22,0.41,0.04,0.05,0.30,0.42,0.10,0.12,0.14,0.39,0.03,0.04,0.06,0.36,0.44,0.44,0.35,0.04,0.05
potion,"Elixir of wisdom",0.07,0.07,0.07,0.44,0.20,0.07,0.07,0.07,0.07,0.17,0.18,0.47,0.56,0.17,0.09,0.08,0.06,0.19,0.19,0.38,0.43,0.26,0.14,0.07,0.07,0.07,0.55,0.24,0.39,0.36,0.06,0.07,0.07,0.56,0.41,0.42,0.52,0.49,0.26,0.08,0.10,0.39,0.40,0.70,0.70,0.39,0.30,0.07,0.06,0.56,0.32,0.36,0.47,0.34,0.26,0.08,0.07,0.15,0.25,0.08,0.10,0.30,0.07,0.07
potion,"witch's mouse familiar charm",0.08,0.08,0.08,0.08,0.11,0.20,0.27,0.12,0.08,0.08,0.08,0.21,0.26,0.09,0.17,0.29,0.08,0.08,0.18,0.35,0.22,0.20,0.15,0.08,0.08,0.29,0.27,0.23,0.14,0.12,0.23,0.08,0.23,0.42,0.30,0.57,0.35,0.08,0.15,0.16,0.27,0.37,0.95,0.89,0.28,0.10,0.08,0.08,0.12,0.18,0.67,0.39,0.25,0.07,0.08,0.08,0.07,0.12,0.24,0.20,0.08,0.08,0.08,0.08
potion,"witch's mouse familiar charm",0.07,0.06,0.07,0.10,0.36,0.20,0.07,0.07,0.07,0.08,0.06,0.27,0.36,0.23,0.06,0.07,0.06,0.16,0.26,0.29,0.33,0.07,0.07,0.07,0.07,0.19,0.32,0.30,0.47,0.15,0.16,0.07,0.07,0.28,0.29,0.29,0.17,0.18,0.12,0.08,0.07,0.12,0.29,0.29,0.14,0.19,0.09,0.07,0.07,0.17,0.37,0.28,0.29,0.16,0.12,0.07,0.07,0.11,0.23,0.23,0.19,0.11,0.07,0.07
potion,"enchanted inkwell",0.07,0.07,0.07,0.07,0.34,0.86,0.93,0.33,0.15,0.11,0.10,0.14,0.86,0.76,0.66,0.07,0.06,0.17,0.10,0.58,0.78,0.75,0.14,0.11,0.07,0.21,0.31,0.82,0.71,0.37,0.17,0.07,0.07,0.06,0.49,0.74,0.54,0.28,0.21,0.08,0.06,0.44,0.41,0.28,0.21,0.40,0.24,0.07,0.05,0.46,0.15,0.19,0.12,0.15,0.33,0.08,0.06,0.35,0.63,0.68,0.69,0.55,0.15,0.07
potion,"licorice whip",0.08,0.07,0.09,0.07,0.07,0.07,0.07,0.07,0.09,0.23,0.08,0.11,0.21,0.34,0.11,0.07,0.08,0.11,0.08,0.21,0.23,0.06,0.22,0.08,0.07,0.08,0.14,0.37,0.08,0.07,0.33,0.07,0.08,0.16,0.56,0.20,0.07,0.27,0.06,0.07,0.14,0.58,0.15,0.07,0.07,0.33,0.22,0.07,0.54,0.33,0.07,0.29,0.11,0.07,0.12,0.08,0.07,0.07,0.08,0.11,0.09,0.07,0.15,0.08
building,"bus depot waiting room",0.08,0.24,0.11,0.07,0.07,0.07,0.09,0.07,0.10,0.80,0.73,0.09,0.07,0.11,0.75,0.34,0.09,0.60,0.53,0.10,0.08,0.09,0.88,0.32,0.08,0.12,0.11,0.08,0.07,0.07,0.37,0.16,0.11,0.18,0.12,0.17,0.17,0.18,0.23,0.10,0.43,0.43,0.46,0.49,0.33,0.54,0.23,0.10,0.21,0.26,0.24,0.27,0.24,0.28,0.24,0.09,0.22,0.21,0.21,0.19,0.21,0.23,0.30,0.20
building,"bus station waiting area seat",0.07,0.09,0.34,0.34,0.14,0.08,0.07,0.07,0.07,0.11,0.67,0.93,0.89,0.96,0.34,0.08,0.07,0.18,0.27,0.34,0.35,0.34,0.06,0.07,0.13,0.43,0.29,0.33,0.30,0.23,0.28,0.09,0.23,0.32,0.25,0.38,0.28,0.25,0.30,0.14,0.23,0.31,0.26,0.31,0.22,0.37,0.27,0.12,0.08,0.17,0.10,0.16,0.10,0.12,0.14,0.10,0.23,0.29,0.30,0.29,0.29,0.29,0.30,0.22
building,"bus rapid transit station with wings",0.09,0.08,0.06,0.20,0.24,0.06,0.09,0.07,0.36,0.96,0.68,0.51,0.43,0.69,0.97,0.26,0.07,0.46,0.66,0.40,0.40,0.62,0.46,0.07,0.29,0.50,0.42,0.46,0.44,0.42,0.47,0.20,0.30,0.10,0.19,0.30,0.18,0.22,0.24,0.15,0.22,0.11,0.24,0.24,0.17,0.28,0.22,0.09,0.33,0.17,0.63,0.31,0.38,0.53,0.33,0.17,0.32,0.33,0.10,0.11,0.12,0.12,0.41,0.33
building,"bus terminal bay layout",0.07,0.44,0.51,0.37,0.46,0.59,0.44,0.37,0.09,0.35,0.53,0.14,0.75,0.63,0.53,0.33,0.08,0.30,0.40,0.59,0.56,0.56,0.57,0.52,0.09,0.29,0.36,0.12,0.64,0.65,0.44,0.36,0.10,0.29,0.47,0.16,0.47,0.33,0.24,0.37,0.63,0.44,0.35,0.31,0.34,0.52,0.43,0.42,0.10,0.28,0.35,0.24,0.72,0.63,0.48,0.34,0.08,0.21,0.22,0.38,0.36,0.35,0.35,0.36
building,"bus rapid transit station platform",0.08,0.20,0.25,0.25,0.25,0.25,0.25,0.09,0.12,0.30,0.27,0.28,0.24,0.25,0.29,0.12,0.07,0.17,0.17,0.14,0.19,0.23,0.21,0.13,0.07,0.15,0.13,0.14,0.40,0.69,0.81,0.14,0.07,0.17,0.13,0.09,0.20,0.34,0.39,0.11,0.21,0.28,0.28,0.26,0.26,0.27,0.27,0.23,0.36,0.32,0.45,0.40,0.40,0.46,0.32,0.28,0.10,0.09,0.11,0.10,0.10,0.11,0.09,0.09
building,"bus rapid transit station platform",0.15,0.19,0.08,0.09,0.07,0.06,0.07,0.07,0.26,0.34,0.36,0.35,0.35,0.35,0.36,0.22,0.18,0.35,0.07,0.06,0.27,0.26,0.23,0.19,0.18,0.82,0.34,0.40,0.51,0.59,0.49,0.10,0.17,0.62,0.15,0.25,0.39,0.26,0.40,0.11,0.34,0.51,0.39,0.43,0.70,0.57,0.67,0.22,0.47,0.65,0.57,0.54,0.52,0.28,0.29,0.31,0.18,0.18,0.19,0.20,0.22,0.08,0.08,0.08
building,"bus rapid transit station platform",0.06,0.06,0.05,0.06,0.04,0.23,0.29,0.05,0.06,0.05,0.06,0.29,0.50,0.47,0.57,0.33,0.05,0.36,0.59,0.45,0.34,0.34,0.34,0.35,0.39,0.43,0.29,0.22,0.14,0.17,0.46,0.20,0.15,0.51,0.46,0.66,0.58,0.18,0.59,0.58,0.28,0.39,0.26,0.06,0.28,0.20,0.58,0.35,0.42,0.41,0.52,0.64,0.78,0.44,0.60,0.39,0.30,0.77,0.44,0.31,0.33,0.43,0.51,0.55
building,"taxi stand pole",0.52,0.54,0.71,0.72,0.73,0.70,0.51,0.52,0.52,0.62,0.77,0.28,0.55,0.83,0.52,0.51,0.52,0.63,0.33,0.32,0.24,0.70,0.51,0.52,0.52,0.51,0.60,0.36,0.46,0.58,0.51,0.51,0.51,0.51,0.52,0.41,0.39,0.52,0.51,0.51,0.52,0.52,0.51,0.56,0.40,0.52,0.51,0.52,0.52,0.51,0.49,0.35,0.38,0.52,0.52,0.51,0.51,0.49,0.27,0.25,0.18,0.33,0.51,0.52
building,"room with multiple ceilings",0.07,0.08,0.15,0.32,0.15,0.07,0.07,0.07,0.23,0.61,0.84,0.84,0.78,0.15,0.06,0.07,0.53,0.32,0.10,0.43,0.78,0.84,0.37,0.25,0.43,0.28,0.33,0.30,0.33,0.33,0.55,0.19,0.43,0.10,0.36,0.51,0.40,0.10,0.36,0.24,0.44,0.09,0.32,0.43,0.38,0.02,0.45,0.27,0.46,0.40,0.34,0.19,0.17,0.18,0.46,0.30,0.28,0.10,0.05,0.06,0.05,0.06,0.06,0.20
building,"portable changing room",0.08,0.06,0.26,0.65,0.67,0.26,0.06,0.07,0.07,0.20,0.62,0.37,0.46,0.63,0.17,0.07,0.08,0.22,0.42,0.45,0.46,0.35,0.19,0.08,0.08,0.23,0.36,0.73,0.62,0.39,0.24,0.08,0.08,0.23,0.38,0.54,0.50,0.35,0.15,0.07,0.08,0.23,0.36,0.55,0.53,0.38,0.25,0.07,0.07,0.21,0.47,0.54,0.55,0.35,0.24,0.08,0.08,0.20,0.44,0.09,0.08,0.43,0.08,0.07
building,"portable changing room",0.05,0.16,0.57,0.68,0.69,0.47,0.07,0.06,0.05,0.26,0.43,0.23,0.28,0.44,0.13,0.06,0.04,0.12,0.27,0.26,0.26,0.27,0.06,0.05,0.04,0.11,0.26,0.27,0.26,0.26,0.05,0.04,0.04,0.12,0.26,0.26,0.18,0.26,0.06,0.04,0.05,0.11,0.26,0.26,0.26,0.26,0.06,0.04,0.06,0.10,0.24,0.23,0.23,0.24,0.05,0.05,0.04,0.33,0.48,0.49,0.49,0.48,0.17,0.07
